label,run_id,total,emeralds,tomatoes,trades,params_json
v40_state_04,v40-state-sweep-08,15343.0,7723.0,7620.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.18, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 1.0, ""CALM_QUOTE_EDGE_MULT"": 0.89, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_09,v40-state-sweep-13,15343.0,7723.0,7620.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.12, ""BAD_FILL_TAKE_PENALTY"": 0.08, ""CALM_JOIN_IMPROVEMENT"": 1.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.0, ""FAST_TAKE_EDGE_BONUS"": 0.2, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
v40_state_10,v40-state-sweep-14,15343.0,7723.0,7620.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.18, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 1.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.12, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.3, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
v40_state_13,v40-state-sweep-17,15343.0,7723.0,7620.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.08, ""CALM_JOIN_IMPROVEMENT"": 1.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_15,v40-state-sweep-19,15324.0,7723.0,7601.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.12, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 2.0, ""CALM_QUOTE_EDGE_MULT"": 0.89, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.12, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_17,v40-state-sweep-21,15324.0,7723.0,7601.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 2.0, ""CALM_QUOTE_EDGE_MULT"": 0.89, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
v40_state_19,v40-state-sweep-23,15324.0,7723.0,7601.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.12, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 2.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.0, ""FAST_TAKE_EDGE_BONUS"": 0.12, ""FAST_TARGET_BONUS"": 3.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
v40_state_20,v40-state-sweep-24,15324.0,7723.0,7601.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.08, ""CALM_JOIN_IMPROVEMENT"": 2.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 3.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
v40_state_25,v40-state-sweep-29,15305.0,7723.0,7582.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.18, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.89, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 4.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_27,v40-state-sweep-31,15305.0,7723.0,7582.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.12, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.91, ""FAST_QUOTE_EDGE_MULT"": 1.0, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 2.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_29,v40-state-sweep-33,15305.0,7723.0,7582.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.91, ""FAST_QUOTE_EDGE_MULT"": 1.02, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 3.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.3, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
v40_state_30,v40-state-sweep-34,15305.0,7723.0,7582.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.18, ""BAD_FILL_TAKE_PENALTY"": 0.14, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.91, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.12, ""FAST_TARGET_BONUS"": 3.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.35, ""INVENTORY_SIZE_PRESSURE"": 0.2}"
v40_state_34,v40-state-sweep-38,15305.0,7723.0,7582.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.18, ""BAD_FILL_TAKE_PENALTY"": 0.08, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.0, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 2.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
v40_state_39,v40-state-sweep-43,15305.0,7723.0,7582.0,688,"{""BAD_FILL_QUOTE_PENALTY"": 0.06, ""BAD_FILL_TAKE_PENALTY"": 0.2, ""CALM_JOIN_IMPROVEMENT"": 3.0, ""CALM_QUOTE_EDGE_MULT"": 0.94, ""FAST_QUOTE_EDGE_MULT"": 1.05, ""FAST_TAKE_EDGE_BONUS"": 0.16, ""FAST_TARGET_BONUS"": 2.0, ""GOOD_FILL_TAKE_BONUS"": 0.12, ""INVENTORY_EDGE_PRESSURE"": 0.42, ""INVENTORY_SIZE_PRESSURE"": 0.3}"
