session_id,total_pnl,emerald_pnl,tomato_pnl,emerald_position,tomato_position,emerald_cash,tomato_cash,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
87,15025.75,7637.0,7388.75,1,7,-2363.0,-27641.0,1.5080982366584823,0.99903893050705,0.7739505954655059,0.9930627447228131,0.7341476411929764,0.9959475512877798
88,14578.0,7302.0,7276.0,14,18,-132698.0,-83003.0,1.4241849233843493,0.9986349942497107,0.7376734918827349,0.9967982522735311,0.6865114315016143,0.9961770520482459
89,14849.5,7350.0,7499.5,-5,7,57350.0,-27098.0,1.4829436545004366,0.997930007868911,0.7330273183542731,0.9945691522983123,0.7499163361461634,0.9946327603025386
90,14843.0,7451.0,7392.0,19,1,-182549.0,2431.0,1.5810599255990994,0.991658611757703,0.768437101702371,0.986297354999795,0.8126228238967282,0.9935804210531669
91,14189.25,7483.0,6706.25,19,5,-182517.0,-18075.0,1.3822967241994673,0.9969566067228871,0.7644391554003915,0.9960093269694346,0.6178575687990757,0.9899568726843371
92,14465.25,7037.0,7428.25,2,1,-12963.0,2441.0,1.401802320621523,0.999170498952161,0.7023475837474759,0.9965580827831294,0.6994547368740474,0.9925276541399974
93,15709.0,7429.0,8280.0,13,4,-122571.0,-11894.0,1.5919899971794,0.9983319957091119,0.7704443892364439,0.9960981273275028,0.8215456079429561,0.9959119784026749
94,14961.0,8045.0,6916.0,28,2,-271955.0,-2978.0,1.5081404559079046,0.9932987765834559,0.7723888614198886,0.9974550958483854,0.735751594488016,0.9813050128992419
95,15069.5,7857.0,7212.5,23,10,-222143.0,-42150.0,1.5956598486025986,0.9962107384898788,0.8183588499415885,0.9918554965462888,0.77730099866101,0.9936174934297477
96,14296.5,8133.0,6163.5,-22,3,228133.0,-8457.0,1.485318511972685,0.9987160202705039,0.8498483612424836,0.9969463741705398,0.6354701507302015,0.9957874386534884
97,15510.0,8093.0,7417.0,-26,-12,268093.0,68011.0,1.5519527636120276,0.9981409492080615,0.8002363968463639,0.9985150791019342,0.7517163667656637,0.9925785508030397
98,14240.0,6937.0,7303.0,18,8,-173063.0,-31991.0,1.4447055173900551,0.9980296392109536,0.7047201235952012,0.9967046682907191,0.739985393794854,0.9972365480327289
99,14054.5,7284.0,6770.5,-17,2,177284.0,-3186.0,1.3778001357050014,0.9985284571284467,0.7290437444644374,0.9978718293907124,0.648756391240564,0.9955575017668137
